prefecture_code,prefecture_name,city_code,city_name,city_type,city_name_level,city_name_with_space,city_name_kana,city_name_kana_large,city_name_roman
28,兵庫県,28585,美方郡香美町,町,2,美方郡 香美町,ミカタグンカミチョウ,ミカタグンカミチヨウ,Mikata Gun Kami Cho
28,兵庫県,28586,美方郡新温泉町,町,2,美方郡 新温泉町,ミカタグンシンオンセンチョウ,ミカタグンシンオンセンチヨウ,Mikata Gun Shinonsen Cho
29,奈良県,29201,奈良市,市,1,奈良市,ナラシ,ナラシ,Nara Shi
29,奈良県,29202,大和高田市,市,1,大和高田市,ヤマトタカダシ,ヤマトタカダシ,Yamatotakada Shi
29,奈良県,29203,大和郡山市,市,1,大和郡山市,ヤマトコオリヤマシ,ヤマトコオリヤマシ,Yamatokoriyama Shi
29,奈良県,29204,天理市,市,1,天理市,テンリシ,テンリシ,Tenri Shi
29,奈良県,29205,橿原市,市,1,橿原市,カシハラシ,カシハラシ,Kashihara Shi
29,奈良県,29206,桜井市,市,1,桜井市,サクライシ,サクライシ,Sakurai Shi
29,奈良県,29207,五條市,市,1,五條市,ゴジョウシ,ゴジヨウシ,Gojo Shi
29,奈良県,29208,御所市,市,1,御所市,ゴセシ,ゴセシ,Gose Shi
29,奈良県,29209,生駒市,市,1,生駒市,イコマシ,イコマシ,Ikoma Shi
29,奈良県,29210,香芝市,市,1,香芝市,カシバシ,カシバシ,Kashiba Shi
29,奈良県,29211,葛城市,市,1,葛城市,カツラギシ,カツラギシ,Katsuragi Shi
